,baseline:eff,baseline:eff+,baseline:eff-,emotions(mod):eff,emotions(mod):eff+,emotions(mod):eff-,emotions(mod+comm):eff,emotions(mod+comm):eff+,emotions(mod+comm):eff-,number
0,0.9106673324202136,0.9130388462670993,0.9082958185733279,0.970531369809582,0.970891870709522,0.970170868909642,0.974004040677904,0.9743264038665348,0.9736816774892733,5
1,0.8663721345784933,0.8684634200878031,0.8642808490691835,0.9606066455901724,0.9612296659811221,0.9599836251992226,0.97111510313024,0.9713289219876445,0.9709012842728354,10
2,0.8226143321915791,0.8255132332022401,0.819715431180918,0.9493016435305458,0.9503052937240335,0.9482979933370581,0.9646440639136066,0.9651031753410418,0.9641849524861713,15
3,0.7833881373021473,0.7872002036395559,0.7795760709647387,0.9286531337672851,0.9297849000519149,0.9275213674826552,0.953031009064307,0.9538076189385589,0.9522543991900552,20
4,0.7452527685843507,0.7489151706250452,0.7415903665436563,0.9056154960499382,0.907377332228755,0.9038536598711213,0.937023228699354,0.9382014380587619,0.935845019339946,25
5,0.7011111610412472,0.7053338958503601,0.6968884262321342,0.8770895305908349,0.8795841495890432,0.8745949115926267,0.9190801798875138,0.9204887018376654,0.9176716579373622,30
6,0.6554077994915614,0.6599028994113291,0.6509126995717937,0.8471010355725503,0.849490979357654,0.8447110917874466,0.9002532765681398,0.9022567487287771,0.8982498044075025,35
7,0.5992579619822207,0.6227430106815752,0.5757729132828662,0.8176833422032413,0.8202835420454747,0.815083142361008,0.8818896380931779,0.8838232088444069,0.8799560673419489,40
8,0.5718870067995266,0.5925431582806918,0.5512308553183615,0.7895414648543985,0.7932448221620718,0.7858381075467251,0.8642565331273588,0.8672697856935451,0.8612432805611726,45
9,0.5254738150937973,0.5445769595966604,0.5063706705909342,0.7607387498825992,0.7637856083249673,0.757691891440231,0.8455070408433579,0.8487136062810654,0.8423004754056505,50
